% Model:              marimba.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jan 20 2021, 23:46
% Table:              Eigenfrequencies (Study 1) - 
% a (m)                                           lambda (Hz)                                       Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
0.001                                             2.6853255510280436E-4i                            0.001687239804721333i                             1                                                 0.5
0.001                                             3.930628493679976E-4i                             0.0024696867199471453i                            1                                                 0.5
0.001                                             7.088871965468006E-4i                             0.004454069617790585i                             1                                                 0.5
0.001                                             0.0011865601483176805i                            0.007455377289994481i                             1                                                 0.5
0.001                                             2.668129943121483E-4                              0.0016764354856266808                             0                                                 Inf
0.001                                             3.3220147945802527E-4                             0.0020872834547539854                             0                                                 Inf
0.001                                             5929.088887457426                                 37253.564182634254                                0                                                 Inf
0.001                                             8113.523198478159                                 50978.769750138694                                0                                                 Inf
0.001                                             8408.404237739927                                 52831.56196339408                                 0                                                 Inf
0.001                                             12277.57777480131                                 77142.29628238623                                 0                                                 Inf
0.001                                             14030.942724381248                                88159.01317171057                                 0                                                 Inf
0.001                                             15519.658650137015                                97512.89120298346                                 0                                                 Inf
0.002                                             2.8269671398568376E-4i                            0.001776235839702798i                             1                                                 0.5
0.002                                             3.247580072059911E-4i                             0.0020405147392656055i                            1                                                 0.5
0.002                                             4.487768927615346E-4i                             0.0028197483788009827i                            1                                                 0.5
0.002                                             5.012979811573213E-4i                             0.0031497481097264705i                            1                                                 0.5
0.002                                             5.6971769698283E-4i                               0.003579641862922709i                             1                                                 0.5
0.002                                             7.680904243581268E-4i                             0.004826054468912316i                             1                                                 0.5
0.002                                             5794.285900532358                                 36406.57203582275                                 0                                                 Inf
0.002                                             8089.685742901946                                 50828.99459950168                                 0                                                 Inf
0.002                                             8158.829430672946                                 51263.43720258864                                 0                                                 Inf
0.002                                             12367.614978661635                                77708.01671878096                                 0                                                 Inf
0.002                                             13910.74625758468                                 87403.79649755948                                 0                                                 Inf
